Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
31.68,62.14,42.55,black soil,Sugarcane,17,0,31,17-17-17
31.03,69.0,49.46,loamy soil,Maize,19,0,19,20-20
31.78,44.27,45.07,loamy soil,Maize,5,8,32,DAP
22.3,60.64,40.78,sandy soil,Ground Nuts,39,0,2,28-28
26.39,52.62,22.27,sandy soil,Cotton,8,1,43,17-17-17
29.36,64.39,20.0,red soil,Tobacco,13,4,39,10-26-26
26.67,47.94,34.08,black soil,Sugarcane,13,0,8,DAP
26.75,56.87,20.0,clayey soils,Barley,12,6,30,17-17-17
30.64,65.77,32.86,clayey soils,Sugarcane,24,0,17,17-17-17
29.89,48.59,38.0,clayey soils,Pulses,26,0,21,28-28
28.61,62.22,41.53,loamy soil,Ground Nuts,8,13,18,Urea
37.09,63.72,47.99,red soil,Sugarcane,39,2,0,17-17-17
21.78,55.6,33.66,loamy soil,Maize,37,3,0,10-26-26
30.42,70.37,55.92,red soil,Wheat,2,5,25,17-17-17
35.39,52.28,42.97,sandy soil,Pulses,10,17,12,10-26-26
30.53,52.17,41.92,black soil,Oil seeds,3,15,15,Urea
28.09,56.62,36.14,loamy soil,Ground Nuts,10,0,34,20-20
22.95,55.86,31.58,black soil,Paddy,16,3,22,28-28
32.06,75.56,55.73,sandy soil,Tobacco,18,1,38,17-17-17
38.4,67.88,62.06,clayey soils,Maize,11,11,16,28-28
33.59,66.16,69.67,sandy soil,Pulses,12,13,27,20-20
26.47,62.91,46.87,sandy soil,Ground Nuts,10,4,11,28-28
31.56,58.25,29.12,loamy soil,Oil seeds,13,21,14,14-35-14
29.13,56.72,67.72,clayey soils,Ground Nuts,8,13,32,17-17-17
23.35,59.98,63.83,black soil,Oil seeds,36,4,0,14-35-14
26.75,58.1,39.27,clayey soils,Maize,19,0,20,14-35-14
30.42,48.76,42.28,red soil,Millets,41,0,1,17-17-17
24.9,51.02,31.9,loamy soil,Ground Nuts,14,13,8,17-17-17
27.31,57.3,22.41,loamy soil,Wheat,34,1,0,Urea
31.5,74.7,23.25,clayey soils,Ground Nuts,8,1,9,DAP
27.63,69.25,41.18,loamy soil,Millets,19,0,26,DAP
22.59,45.7,33.13,black soil,Maize,38,0,4,14-35-14
35.97,60.1,26.8,black soil,Tobacco,11,2,40,20-20
27.69,55.55,27.9,red soil,Sugarcane,26,2,22,20-20
24.27,52.43,62.34,loamy soil,Millets,6,1,14,DAP
30.42,50.01,26.27,black soil,Ground Nuts,9,3,11,28-28
31.52,44.64,42.86,red soil,Barley,13,0,35,28-28
30.64,57.57,46.45,red soil,Wheat,12,4,13,20-20
22.17,47.78,43.03,clayey soils,Paddy,15,0,16,28-28
36.5,65.85,42.33,loamy soil,Maize,5,10,32,10-26-26
35.13,65.69,37.76,black soil,Maize,8,4,6,28-28
24.82,53.75,47.97,black soil,Ground Nuts,6,14,10,DAP
31.24,55.88,37.05,sandy soil,Oil seeds,6,0,9,Urea
29.77,46.18,63.79,loamy soil,Cotton,5,3,14,10-26-26
25.86,46.65,32.67,clayey soils,Oil seeds,35,0,0,17-17-17
30.15,60.77,42.93,clayey soils,Cotton,44,0,0,Urea
29.46,59.4,49.1,clayey soils,Ground Nuts,10,0,12,28-28
29.37,64.45,64.66,black soil,Cotton,38,0,0,10-26-26
23.63,58.75,35.6,red soil,Oil seeds,19,0,18,28-28
32.45,60.24,55.92,sandy soil,Millets,10,5,31,28-28
37.34,63.39,25.36,red soil,Paddy,15,4,39,14-35-14
30.41,67.24,65.58,loamy soil,Cotton,3,8,34,17-17-17
31.9,55.45,59.87,sandy soil,Barley,12,0,37,14-35-14
35.85,52.79,54.13,clayey soils,Cotton,16,13,16,17-17-17
28.87,49.91,35.02,red soil,Pulses,20,0,23,10-26-26
26.33,50.2,45.34,clayey soils,Oil seeds,9,19,18,10-26-26
29.67,58.75,40.69,sandy soil,Sugarcane,35,0,0,Urea
32.2,50.72,39.63,clayey soils,Ground Nuts,23,0,15,28-28
29.24,62.15,51.65,black soil,Millets,6,0,41,10-26-26
34.15,71.16,41.7,red soil,Paddy,37,0,1,Urea
31.56,55.15,56.8,red soil,Barley,9,0,35,DAP
24.76,56.88,20.0,clayey soils,Oil seeds,9,0,36,10-26-26
34.15,63.96,47.64,red soil,Barley,11,0,14,14-35-14
30.7,57.71,38.36,sandy soil,Wheat,9,4,18,28-28
34.89,53.79,37.58,red soil,Ground Nuts,23,2,22,Urea
26.7,63.42,24.65,sandy soil,Cotton,13,1,42,17-17-17
23.75,61.43,52.94,black soil,Ground Nuts,37,0,0,DAP
25.73,52.9,46.14,red soil,Cotton,21,0,18,20-20
25.36,50.91,24.39,loamy soil,Wheat,13,0,10,20-20
36.35,61.89,65.38,black soil,Sugarcane,39,0,0,DAP
21.91,46.66,45.27,black soil,Millets,24,0,21,14-35-14
26.44,65.84,50.2,clayey soils,Pulses,10,0,9,28-28
28.93,50.28,20.33,red soil,Wheat,8,0,12,Urea
30.06,53.68,70.0,sandy soil,Maize,7,6,34,20-20
35.29,64.13,46.59,clayey soils,Pulses,16,13,13,14-35-14
24.61,63.9,70.0,loamy soil,Pulses,41,2,0,DAP
29.38,60.44,45.57,clayey soils,Millets,19,0,22,14-35-14
30.2,51.16,32.5,red soil,Barley,20,0,19,DAP
32.46,68.2,64.77,sandy soil,Sugarcane,11,0,9,14-35-14
24.26,53.19,67.73,clayey soils,Oil seeds,34,0,4,DAP
37.9,75.51,25.35,clayey soils,Ground Nuts,11,0,35,DAP
31.1,55.48,46.43,sandy soil,Cotton,34,0,2,Urea
31.75,62.4,34.97,black soil,Wheat,17,0,15,Urea
27.29,57.56,53.09,black soil,Pulses,15,11,11,20-20
26.71,55.89,69.87,loamy soil,Paddy,15,0,40,14-35-14
29.25,56.07,33.6,black soil,Oil seeds,21,0,18,DAP
29.73,58.67,29.64,red soil,Barley,17,0,20,17-17-17
31.62,57.88,42.77,clayey soils,Oil seeds,10,12,18,14-35-14
25.93,54.07,23.84,loamy soil,Maize,8,13,12,14-35-14
26.47,55.37,59.34,sandy soil,Maize,11,1,12,20-20
21.92,53.0,33.57,black soil,Barley,18,0,42,17-17-17
24.35,58.11,34.04,clayey soils,Oil seeds,4,0,10,28-28
29.55,45.99,50.06,red soil,Sugarcane,9,4,10,10-26-26
28.29,60.24,33.44,black soil,Pulses,33,0,2,DAP
31.31,73.26,70.0,loamy soil,Pulses,11,2,41,14-35-14
30.05,58.21,23.31,loamy soil,Cotton,43,0,0,17-17-17
31.27,62.18,32.06,sandy soil,Paddy,21,4,24,14-35-14
32.51,61.45,70.0,loamy soil,Ground Nuts,10,1,32,Urea
23.98,44.94,20.0,sandy soil,Oil seeds,14,11,13,28-28
30.28,69.29,53.16,sandy soil,Tobacco,39,1,2,10-26-26
28.02,54.85,55.71,sandy soil,Sugarcane,10,9,18,20-20
28.66,56.26,39.29,black soil,Sugarcane,37,0,1,DAP
30.85,70.39,29.35,black soil,Millets,22,0,26,10-26-26
24.51,62.55,65.83,loamy soil,Pulses,13,4,5,Urea
22.33,56.84,29.98,black soil,Ground Nuts,18,4,23,14-35-14
29.75,55.39,28.42,sandy soil,Tobacco,42,1,4,14-35-14
28.27,52.86,22.36,clayey soils,Ground Nuts,41,0,2,10-26-26
33.27,67.2,40.49,loamy soil,Paddy,17,0,12,10-26-26
38.53,70.2,28.94,loamy soil,Millets,10,0,32,17-17-17
25.2,60.02,69.92,sandy soil,Oil seeds,8,14,31,20-20
23.66,55.66,31.32,red soil,Wheat,38,0,2,20-20
35.01,71.58,39.2,black soil,Wheat,9,0,16,14-35-14
36.92,69.78,32.64,clayey soils,Maize,12,2,31,14-35-14
23.74,47.23,43.64,red soil,Tobacco,18,0,19,10-26-26
30.51,48.99,28.68,black soil,Tobacco,6,0,11,14-35-14
27.02,68.83,33.05,black soil,Tobacco,0,16,19,Urea
27.77,42.89,59.1,red soil,Barley,6,2,13,Urea
39.65,63.55,47.33,red soil,Cotton,3,12,30,Urea
37.27,64.08,36.28,red soil,Barley,15,4,45,20-20
27.93,64.17,62.13,black soil,Pulses,7,0,6,20-20
29.95,61.75,36.58,black soil,Sugarcane,37,0,0,28-28
24.97,59.24,47.46,sandy soil,Paddy,26,0,21,20-20
27.68,61.68,59.47,clayey soils,Paddy,18,0,36,17-17-17
23.82,47.74,30.62,black soil,Cotton,2,20,12,17-17-17
34.57,69.61,57.23,clayey soils,Pulses,38,0,0,DAP
35.1,70.14,56.12,loamy soil,Pulses,16,0,44,20-20
33.71,59.42,29.32,black soil,Barley,16,0,38,14-35-14
24.75,45.31,49.7,clayey soils,Cotton,23,0,23,10-26-26
37.36,59.64,53.7,loamy soil,Millets,3,12,31,10-26-26
32.22,56.29,48.76,black soil,Maize,35,0,2,10-26-26
32.35,48.81,46.33,loamy soil,Paddy,31,3,0,20-20
40.0,80.0,59.99,clayey soils,Cotton,42,0,0,10-26-26
25.85,62.32,48.82,red soil,Cotton,33,3,0,DAP
30.61,66.36,42.09,red soil,Barley,8,22,18,DAP
34.51,54.79,54.12,loamy soil,Maize,5,6,26,28-28
29.66,43.74,43.31,red soil,Paddy,35,3,2,20-20
31.75,46.82,37.35,red soil,Maize,16,0,15,DAP
25.43,68.65,39.28,red soil,Oil seeds,20,0,17,10-26-26
30.97,58.53,29.79,loamy soil,Wheat,10,21,13,17-17-17
28.58,71.66,46.04,red soil,Oil seeds,10,12,9,10-26-26
29.87,63.64,61.4,black soil,Wheat,15,16,10,20-20
25.09,54.56,34.08,red soil,Maize,19,0,21,28-28
29.76,45.13,30.91,red soil,Cotton,35,2,0,DAP
31.38,69.36,35.4,black soil,Tobacco,35,3,0,Urea
36.7,70.28,23.31,sandy soil,Ground Nuts,37,0,0,10-26-26
26.91,44.27,23.76,loamy soil,Barley,18,0,45,10-26-26
30.83,53.08,47.02,black soil,Oil seeds,7,0,5,DAP
31.98,55.89,57.6,red soil,Barley,37,4,0,17-17-17
30.46,48.84,33.31,red soil,Paddy,23,1,25,14-35-14
29.24,54.29,47.85,clayey soils,Paddy,14,9,32,Urea
31.38,67.84,59.74,loamy soil,Maize,12,0,34,10-26-26
29.08,54.19,61.72,clayey soils,Maize,41,0,1,14-35-14
40.0,60.8,50.41,black soil,Cotton,12,10,23,10-26-26
23.18,53.55,20.0,black soil,Ground Nuts,19,15,15,17-17-17
32.61,54.79,70.0,black soil,Barley,40,4,0,Urea
36.12,72.17,33.4,sandy soil,Paddy,9,0,37,Urea
23.88,57.05,35.25,loamy soil,Barley,40,3,0,20-20
30.78,64.7,35.01,clayey soils,Pulses,14,0,12,10-26-26
36.46,65.08,43.87,red soil,Paddy,10,8,27,10-26-26
40.0,77.61,29.53,loamy soil,Sugarcane,7,4,45,10-26-26
32.0,57.73,35.48,black soil,Wheat,42,0,0,10-26-26
32.69,69.21,22.19,black soil,Sugarcane,4,10,26,20-20
29.63,45.37,21.76,black soil,Sugarcane,14,0,11,28-28
34.22,56.39,49.89,red soil,Pulses,25,0,19,14-35-14
36.56,76.26,36.26,sandy soil,Wheat,7,11,34,10-26-26
37.0,62.94,55.83,loamy soil,Pulses,35,1,0,20-20
37.66,74.6,28.6,black soil,Millets,36,3,3,DAP
36.42,75.12,46.56,sandy soil,Ground Nuts,14,2,37,DAP
29.92,50.41,62.32,clayey soils,Ground Nuts,8,9,32,10-26-26
31.96,49.13,52.38,loamy soil,Maize,8,0,38,10-26-26
38.65,62.79,58.95,black soil,Cotton,10,0,43,20-20
24.94,50.42,55.75,red soil,Tobacco,35,0,1,14-35-14
26.11,52.09,44.94,black soil,Pulses,25,4,22,Urea
39.68,75.02,51.69,clayey soils,Barley,3,4,31,14-35-14
32.74,64.14,68.56,red soil,Millets,12,0,39,10-26-26
25.3,50.31,45.77,loamy soil,Tobacco,14,1,36,14-35-14
29.37,61.61,33.0,loamy soil,Oil seeds,4,9,26,10-26-26
35.12,61.28,35.3,red soil,Sugarcane,11,0,36,Urea
31.57,46.3,28.05,red soil,Tobacco,36,0,0,14-35-14
38.0,61.23,26.32,black soil,Wheat,9,4,38,17-17-17
36.29,71.0,56.12,black soil,Barley,38,0,0,DAP
32.76,61.99,68.62,black soil,Pulses,13,0,38,DAP
33.01,61.9,32.87,sandy soil,Wheat,41,3,1,28-28
27.09,64.13,38.0,black soil,Paddy,28,0,27,28-28
30.15,68.23,37.36,sandy soil,Wheat,11,0,9,28-28
31.12,54.41,55.18,clayey soils,Oil seeds,12,0,31,DAP
31.08,61.81,34.73,red soil,Wheat,38,3,0,DAP
34.99,65.23,27.62,clayey soils,Maize,1,17,13,10-26-26
28.29,46.16,41.47,black soil,Millets,3,12,16,20-20
37.61,61.11,36.72,loamy soil,Barley,10,2,42,Urea
36.02,69.03,54.45,sandy soil,Barley,21,0,22,20-20
28.58,41.09,30.84,red soil,Tobacco,21,0,22,17-17-17
24.6,52.29,30.92,black soil,Tobacco,16,0,39,DAP
29.87,56.39,37.84,sandy soil,Cotton,13,4,6,10-26-26
29.85,47.2,57.02,sandy soil,Millets,27,0,20,10-26-26
26.12,63.44,63.43,loamy soil,Millets,5,10,36,DAP
34.94,57.44,52.37,sandy soil,Wheat,5,3,5,DAP
31.59,63.18,56.9,black soil,Paddy,16,4,36,10-26-26
37.33,67.17,37.59,loamy soil,Maize,11,0,42,10-26-26
24.02,45.09,67.89,loamy soil,Tobacco,37,1,2,14-35-14
33.56,66.29,26.04,clayey soils,Wheat,43,2,2,14-35-14
30.78,50.3,52.95,clayey soils,Barley,25,0,22,20-20
32.39,66.19,63.37,clayey soils,Ground Nuts,10,7,26,10-26-26
31.26,67.75,26.57,black soil,Barley,23,2,22,Urea
38.04,69.01,42.8,red soil,Ground Nuts,9,8,32,10-26-26
32.73,62.66,34.5,red soil,Paddy,12,1,44,17-17-17
27.79,60.14,41.16,clayey soils,Paddy,37,0,4,10-26-26
32.24,55.75,45.85,black soil,Pulses,44,0,0,20-20
31.18,60.59,20.77,black soil,Pulses,12,0,42,28-28
34.04,65.18,55.33,black soil,Ground Nuts,12,7,32,28-28
28.92,49.12,20.0,black soil,Pulses,11,14,31,17-17-17
36.08,74.86,38.71,red soil,Wheat,8,20,21,10-26-26
32.57,62.47,37.05,sandy soil,Millets,14,3,36,Urea
32.53,51.27,44.71,sandy soil,Ground Nuts,38,0,4,14-35-14
25.19,60.71,52.06,red soil,Paddy,26,0,25,14-35-14
28.66,47.45,44.04,loamy soil,Wheat,36,0,4,20-20
24.59,58.22,64.12,sandy soil,Paddy,9,14,12,10-26-26
25.71,59.93,51.81,clayey soils,Tobacco,8,0,37,17-17-17
28.24,54.62,35.02,clayey soils,Wheat,10,0,12,DAP
33.95,61.0,45.29,clayey soils,Maize,18,3,17,17-17-17
33.88,59.02,35.32,clayey soils,Sugarcane,11,4,27,DAP
30.87,58.93,70.0,clayey soils,Oil seeds,2,9,32,28-28
33.25,69.66,51.62,sandy soil,Maize,36,0,4,Urea
30.25,72.59,57.4,black soil,Pulses,4,0,15,28-28
31.59,67.65,56.8,sandy soil,Oil seeds,7,3,42,Urea
37.68,62.61,54.72,black soil,Ground Nuts,41,0,4,Urea
30.23,70.15,26.2,red soil,Oil seeds,19,0,33,17-17-17
30.29,58.63,51.24,loamy soil,Ground Nuts,24,0,16,17-17-17
27.47,53.06,40.0,red soil,Paddy,8,0,40,28-28
29.05,52.0,53.16,black soil,Cotton,19,0,15,28-28
22.27,58.06,38.54,black soil,Tobacco,2,16,19,28-28
26.4,57.87,57.72,sandy soil,Cotton,36,0,2,14-35-14
24.38,52.09,25.67,loamy soil,Sugarcane,13,10,26,28-28
33.24,51.28,65.32,black soil,Pulses,5,14,29,Urea
27.41,52.54,41.48,black soil,Barley,9,0,10,Urea
32.64,77.53,39.18,clayey soils,Maize,12,0,34,20-20
27.61,71.93,41.84,red soil,Barley,18,0,29,17-17-17
36.71,76.2,24.17,sandy soil,Barley,10,0,17,14-35-14
31.72,71.9,41.1,clayey soils,Oil seeds,14,2,38,20-20
38.33,70.83,45.85,loamy soil,Cotton,1,14,17,Urea
31.36,44.29,43.74,sandy soil,Pulses,10,0,40,17-17-17
31.97,57.04,39.26,loamy soil,Maize,23,0,26,10-26-26
30.86,66.38,42.56,clayey soils,Sugarcane,15,0,41,14-35-14
29.81,63.42,20.0,loamy soil,Millets,12,0,37,10-26-26
30.18,68.42,36.95,clayey soils,Barley,34,2,1,17-17-17
25.23,62.86,38.43,red soil,Cotton,41,0,4,20-20
37.04,68.38,51.4,red soil,Maize,4,9,28,28-28
26.14,52.36,40.32,clayey soils,Paddy,24,0,17,14-35-14
25.71,49.13,33.26,sandy soil,Sugarcane,5,10,31,14-35-14
30.12,69.25,21.43,loamy soil,Paddy,39,1,4,28-28
27.34,63.01,48.83,black soil,Cotton,21,2,23,10-26-26
30.29,69.44,58.64,clayey soils,Pulses,40,0,0,14-35-14
33.67,68.27,57.75,clayey soils,Millets,34,4,0,DAP
